Date,AAPL
2022-12-07 0:00:00,140.9400024
2022-12-06 0:00:00,142.9100037
2022-12-05 0:00:00,146.6300049
2022-12-02 0:00:00,147.8099976
2022-12-01 0:00:00,148.3099976
2022-11-30 0:00:00,148.0299988
2022-11-29 0:00:00,141.1699982
2022-11-28 0:00:00,144.2200012
2022-11-25 0:00:00,148.1100006
2022-11-23 0:00:00,151.0700073
2022-11-22 0:00:00,150.1799927
2022-11-21 0:00:00,148.0099945
2022-11-18 0:00:00,151.2899933
2022-11-17 0:00:00,150.7200012
2022-11-16 0:00:00,148.7899933
2022-11-15 0:00:00,150.0399933
2022-11-14 0:00:00,148.2799988
2022-11-11 0:00:00,149.6999969
2022-11-10 0:00:00,146.8699951
2022-11-09 0:00:00,134.8699951
2022-11-08 0:00:00,139.5
2022-11-07 0:00:00,138.9199982
2022-11-04 0:00:00,138.3800049
2022-11-03 0:00:00,138.8800049
2022-11-02 0:00:00,145.0299988
2022-11-01 0:00:00,150.6499939
2022-10-31 0:00:00,153.3399963
2022-10-28 0:00:00,155.7400055
2022-10-27 0:00:00,144.8000031
2022-10-26 0:00:00,149.3500061
2022-10-25 0:00:00,152.3399963
2022-10-24 0:00:00,149.4499969
2022-10-21 0:00:00,147.2700043
2022-10-20 0:00:00,143.3899994
2022-10-19 0:00:00,143.8600006
2022-10-18 0:00:00,143.75
2022-10-17 0:00:00,142.4100037
2022-10-14 0:00:00,138.3800049
2022-10-13 0:00:00,142.9900055
2022-10-12 0:00:00,138.3399963
2022-10-11 0:00:00,138.9799957
2022-10-10 0:00:00,140.4199982
2022-10-07 0:00:00,140.0899963
2022-10-06 0:00:00,145.4299927
2022-10-05 0:00:00,146.3999939
2022-10-04 0:00:00,146.1000061
2022-10-03 0:00:00,142.4499969
2022-09-30 0:00:00,138.1999969
2022-09-29 0:00:00,142.4799957
2022-09-28 0:00:00,149.8399963
2022-09-27 0:00:00,151.7599945
2022-09-26 0:00:00,150.7700043
2022-09-23 0:00:00,150.4299927
2022-09-22 0:00:00,152.7400055
2022-09-21 0:00:00,153.7200012
2022-09-20 0:00:00,156.8999939
2022-09-19 0:00:00,154.4799957
2022-09-16 0:00:00,150.6999969
2022-09-15 0:00:00,152.3699951
2022-09-14 0:00:00,155.3099976
2022-09-13 0:00:00,153.8399963
2022-09-12 0:00:00,163.4299927
2022-09-09 0:00:00,157.3699951
2022-09-08 0:00:00,154.4600067
2022-09-07 0:00:00,155.9600067
2022-09-06 0:00:00,154.5299988
